Item #,Quantity On Hand,Updated Qty,Item,Item Description,Color,Size,Team,Division/Logo,Date of Last Use,Category,Thumbnail,Image
CUP1365   ,20,20,"POLO, MEN'S","LG, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,LG,,,8/9/16,Donations,Untitled_files/thumbails/439.jpg,Untitled_files/fullsize/439.jpg
CUP1366   ,7,7,"POLO, MEN'S","XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,XL,,,2/29/16,Donations,Untitled_files/thumbails/884.jpg,Untitled_files/fullsize/884.jpg
CUP1367   ,11,11,"POLO, MEN'S","2XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,2XL,,,5/19/15,Donations,Untitled_files/thumbails/884.jpg,Untitled_files/fullsize/884.jpg
CUP1382   ,3,4,"WINDSHIRT, MEN'S","XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",BLACK,XL,,,5/19/16,Donations,Untitled_files/thumbails/884.jpg,Untitled_files/fullsize/884.jpg
CUP1383   ,20,20,"WINDSHIRT, MEN'S","2XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",BLACK,2XL,,,3/22/13,Donations,Untitled_files/thumbails/400a.jpg,Untitled_files/fullsize/400a.jpg
CUP1400   ,79,79,BEVERAGE NAPKINS,"200 PACK, WHITE, FEDEXCUP/WE UNDERSTAND",WHITE,200 PACK,,,6/28/16,Hospitality Supplies,Untitled_files/thumbails/014b.jpg,Untitled_files/fullsize/014b.jpg
CUP1401   ,11,11,GOLF GLOBE GAME,WITH FEDEXCUP BALL,,,,,2/10/16,Hospitality Supplies,Untitled_files/thumbails/314.jpg,Untitled_files/fullsize/314.jpg
CUP1402   ,38,37,"T-SHIRT, THE FIRST TEE","MD, WHITE, FEDEXCUP",WHITE,MD,,,12/20/10,Donations,Untitled_files/thumbails/314.jpg,Untitled_files/fullsize/314.jpg
CUP1403   ,105,5,"T-SHIRT, THE FIRST TEE","LG, WHITE, FEDEXCUP",WHITE,LG,,,6/9/10,Donations,Untitled_files/thumbails/862a.jpg,Untitled_files/fullsize/862a.jpg
CUP1404   ,44,44,"T-SHIRT, THE FIRST TEE","XL, WHITE, FEDEXCUP",WHITE,XL,,,9/24/08,Donations,Untitled_files/thumbails/862a.jpg,Untitled_files/fullsize/862a.jpg
CUP1406   ,1,1,"STAFF ZR JACKET, LADIES","SM, BLACK, ZERO RESTRICTION",BLACK,SM,,,7/12/10,FESJC,Untitled_files/thumbails/124.jpg,Untitled_files/fullsize/124.jpg
CUP1410   ,520,520,PHOTO HOLDER,"WHITE, FEDEXCUP",WHITE,,,,11/20/14,Hospitality Supplies,Untitled_files/thumbails/147.jpg,Untitled_files/fullsize/147.jpg
CUP1418   ,1,1,"T-SHIRT, REEBOK PLAY DRY, MEN'S","FEDEX CUP ON SLEEVE, TROPHY IMAGE ON LEFT CHEST",SILVER GRAY,MD,,,9/25/14,Donations,Untitled_files/thumbails/407.jpg,Untitled_files/fullsize/407.jpg
CUP1428   ,3,3,UMBRELLA,PURPLE/WHITE,,,,,1/31/13,Hospitality Supplies,Untitled_files/thumbails/858.jpg,Untitled_files/fullsize/858.jpg
CUP1429   ,63,62,BADGE HOLDER,BLANK,,"4 1/2" X 8""" 1/2"""",,,4/15/16,Credentials,Untitled_files/thumbails/132.jpg,Untitled_files/fullsize/132.jpg
CUP1443   ,19,42,PEDOMETER,"IN GIFT TIN, PGA/FEDEXCUP",,,,,9/13/13,Donations,Untitled_files/thumbails/425.jpg,Untitled_files/fullsize/425.jpg
CUP1452   ,10,10,"TOWEL, WORKOUT","PURPLE, FEDEXCUP/TROPHY ICON",PURPLE,"12" X 45"""2" X 4""" X "" X ",,,2/8/16,Gift Bags,Untitled_files/thumbails/425.jpg,Untitled_files/fullsize/425.jpg
CUP1465   ,5,5,GOLF CLUB SHIPPING CASE,HARD,BLACK,,,,8/27/13,Golf Balls,Untitled_files/thumbails/875.jpg,Untitled_files/fullsize/875.jpg
CUP1469   ,13,13,"WATCH, LADIES","CALLAWAY STAINLESS, FEDEXCUP ON BACK",WHITE,,,,10/11/12,Donations,Untitled_files/thumbails/847.jpg,Untitled_files/fullsize/847.jpg
CUP1485   ,11,7,APRON,WITH FEDEXCUP IN WHITE,BLUE,,,,10/11/13,Hospitality Supplies,Untitled_files/thumbails/172.jpg,Untitled_files/fullsize/172.jpg
CUP1486   ,9,13,APRON,WITH FEDEXCUP IN WHITE,HOT PINK,,,,9/25/14,Hospitality Supplies,Untitled_files/thumbails/175.jpg,Untitled_files/fullsize/175.jpg
