Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP1367   ,11,"POLO, MEN'S","2XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",Donations,BLUE STRIPE,2XL,5/19/15
CUP1261   ,13,POST-IT CUBE,"2 3/4"" SQUARE, FEDEX CUP",Donations,,"2 3/4"" SQUARE",9/17/15
CUP1330   ,27,PUTTING CUP/COASTER,"WHITE, FEDEXCUP",Donations,WHITE,,8/12/10
CUP1602   ,1,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",Donations,BLACK,MD,9/25/14
CUP1604   ,10,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",Donations,BLACK,XL,1/14/15
CUP1605   ,6,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",Donations,BLACK,2XL,5/19/15
SSJC0018  ,7,SCORECARD HOLDER,"FEDEXCUP DEBOSSED, LEATHER",Donations,BLACK,,12/11/14
CUP1612   ,7,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,MD,12/11/14
CUP1613   ,19,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,LG,9/13/13
CUP1614   ,24,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,XL,6/16/10
CUP1615   ,12,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,BLACK,2XL,6/16/10
CUP1622   ,6,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,COBALT,MD,12/11/14
CUP1623   ,21,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,COBALT,LG,9/13/13
CUP1624   ,24,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,COBALT,XL,6/16/10
CUP1625   ,12,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",Donations,COBALT,2XL,6/16/10
CUP1892   ,14,SHOE BAG,LEATHER: FEDEXCUP,Donations,, ,9/4/13
CUP1299   ,3,"STAFF POLO, LADIES","SM, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,BLACK,SM,11/7/13
CUP1300   ,4,"STAFF POLO, LADIES","MD, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,BLACK,MD,8/16/16
CUP1308   ,8,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,SM,7/18/13
CUP1309   ,4,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,SM,8/16/16
CUP1310   ,8,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,SM,8/13/15
